,id,symbol,partner_symbol,data_available_from,data_available_date
0XBTC,877383,0XBTC,0XBTC,1517961600,2018-02-07
1ST,28328,1ST,1ST,1481241600,2016-12-09
1WO,925200,1WO,1WO,1512000000,2017-11-30
AAC,925291,AAC,AAC,1514505600,2017-12-29
ABCC,925864,ABCC,AT,1531008000,2018-07-08
ABT,758055,ABT,ABT,1519344000,2018-02-23
ABYSS,419711,ABYSS,ABYSS,1524009600,2018-04-18
ACCN,716854,ACCN,ACC,1507248000,2017-10-06
ACE,294364,ACE,ACE,1510012800,2017-11-07
ADA,321992,ADA,ADA,1506124800,2017-09-23
ADB,468052,ADB,ADB,1513123200,2017-12-13
ADH,866454,ADH,ADH,1523318400,2018-04-10
ADI,780883,ADI,ADI,1514419200,2017-12-28
ADL,127738,ADL,ADL,1516752000,2018-01-24
ADT,188858,ADT,ADT,1497830400,2017-06-19
ADX,170452,ADX,ADX,1498780800,2017-06-30
AE,190978,AE,AE,1504310400,2017-09-02
AEN,924988,AEN,AEN,1525046400,2018-04-30
AERGO,928382,AERGO,AERGO,1542844800,2018-11-22
AGI,710156,AGI,AGI,1513814400,2017-12-21
AGVC,928332,AGVC,AGVC,1551657600,2019-03-04
AID,368770,AID,AID,1511136000,2017-11-20
AIDOC,684818,AIDOC,AIDOC,1513468800,2017-12-17
AIT,777027,AIT,AIT,1515110400,2018-01-05
AIX,187030,AIX,AIX,1510617600,2017-11-14
ALIS,331603,ALIS,ALIS,1503619200,2017-08-25
ALX,787696,ALX,ALX,1525305600,2018-05-03
AMB,238733,AMB,AMB,1508630400,2017-10-22
AMLT,925145,AMLT,AMLT,1510272000,2017-11-10
AMM,589881,AMM,AMM,1505260800,2017-09-13
AMN,890663,AMN,AMN,1519430400,2018-02-24
AMO,889900,AMO,AMO,1524528000,2018-04-24
ANKR,929313,ANKR,ANKR,1550707200,2019-02-21
ANT,78152,ANT,ANT,1494806400,2017-05-15
AOA,918501,AOA,AOA,1526601600,2018-05-18
APIS,906171,APIS,APIS,1520121600,2018-03-04
APPC,346812,APPC,APPC,1509926400,2017-11-06
ARAW,925945,ARAW,ARAW,1529452800,2018-06-20
ARBT,924926,ARBT,ARB,1520467200,2018-03-08
ARCT,707530,ARCT,ARCT,1510099200,2017-11-08
ARN,335127,ARN,ARN,1509667200,2017-11-03
ART,311558,ART,ART,1504569600,2017-09-05
ARY,769416,ARY,ARY,1513987200,2017-12-23
AST,337162,AST,AST,1507593600,2017-10-10
ASTO,924963,ASTO,ATX,1519344000,2018-02-23
ATL,235213,ATL,ATL,1504137600,2017-08-31
ATM,368694,ATM,ATM,1505692800,2017-09-18
ATMI,920748,ATMI,ATMI,1527033600,2018-05-23
ATS,345017,ATS,ATS,1505347200,2017-09-14
AUC,792023,AUC,AUC,1522022400,2018-03-26
AVH,922140,AVH,AVH,1516406400,2018-01-20
AVT,138642,AVT,AVT,1504396800,2017-09-03
AWC,929381,AWC,AWC,1529280000,2018-06-18
